Name,Benefits,Consumption Methods,How to Eat
Breadfruit Seed,"Rich in protein, supports heart health, high in fiber, good for digestion","Boiled breadfruit seeds, roasted breadfruit seeds, breadfruit flour","During a pandemic: Boil and eat, grind into flour. Normal times: Use in soups, baking, and breakfast cereals."
Watercress Seed,"Rich in vitamins, supports immunity, promotes digestion, high in antioxidants","Watercress leaves, watercress tea, watercress seed oil","During a pandemic: Brew into tea, use as a garnish. Normal times: Use in salads, herbal drinks, and soups."
Seaweed Seed,"High in iodine, supports thyroid health, rich in minerals, boosts immunity","Dried seaweed, seaweed flakes, seaweed powder","During a pandemic: Use as seasoning, mix into soups. Normal times: Use in sushi, salads, and snacks."
Sunflower Seed,"Rich in vitamin E, supports skin health, boosts immunity, high in healthy fats","Raw sunflower seeds, roasted sunflower seeds, sunflower seed oil","During a pandemic: Roast and eat as a snack, use oil for cooking. Normal times: Use in granola, salads, and snacks."
Marigold Seed,"Supports eye health, rich in antioxidants, boosts immunity, has anti-inflammatory properties","Marigold petals, marigold tea, marigold extracts","During a pandemic: Brew tea for immune support, use petals in salads. Normal times: Use in herbal remedies, teas, and food decoration."
Rose Seed,"Rich in vitamin C, supports skin health, aids digestion, has anti-inflammatory effects","Rose petals, rosehip tea, rose seed oil","During a pandemic: Brew tea for health benefits, use oil for skin care. Normal times: Use in desserts, herbal drinks, and salads."
Lavender Seed,"Promotes relaxation, aids sleep, reduces stress, has antibacterial properties","Lavender tea, lavender oil, dried lavender","During a pandemic: Brew tea for relaxation, use oil for aromatherapy. Normal times: Use in herbal teas, desserts, and bath products."
Hibiscus Seed,"Rich in antioxidants, supports heart health, boosts immunity, aids digestion","Hibiscus tea, hibiscus petals, hibiscus powder","During a pandemic: Brew tea for immune support, mix powder in food. Normal times: Use in juices, desserts, and herbal teas."
Chamomile Seed,"Promotes sleep, reduces stress, supports digestion, has anti-inflammatory properties","Chamomile tea, chamomile oil, chamomile extract","During a pandemic: Brew tea for relaxation, use oil in aromatherapy. Normal times: Use in herbal drinks, skin care, and natural remedies."
Poppy Seed,"Supports brain health, high in calcium, aids digestion, rich in antioxidants","Whole poppy seeds, poppy seed paste, poppy seed oil","During a pandemic: Mix into porridge, use in baked goods. Normal times: Use in desserts, sauces, and herbal teas."
Blue Lotus Seed,"Promotes relaxation, supports brain health, aids digestion, has anti-inflammatory effects","Blue lotus tea, blue lotus extract, dried blue lotus","During a pandemic: Brew tea for stress relief, use extract in herbal remedies. Normal times: Use in teas, meditation blends, and aromatherapy."
Safflower Seed,"Supports heart health, improves skin, aids digestion, rich in healthy fats","Safflower oil, safflower tea, safflower extract","During a pandemic: Use oil in cooking, brew tea for health benefits. Normal times: Use in herbal medicine, cooking, and skincare."
Jasmine Seed,"Promotes relaxation, supports digestion, has antibacterial properties, boosts immunity","Jasmine tea, jasmine oil, dried jasmine flowers","During a pandemic: Brew tea for relaxation, use oil in aromatherapy. Normal times: Use in teas, desserts, and skincare."
Dandelion Seed,"Supports liver health, aids digestion, rich in vitamins, has detoxifying properties","Dandelion tea, dandelion root powder, dandelion greens","During a pandemic: Brew tea for detox, mix powder into food. Normal times: Use in herbal teas, salads, and natural remedies."
Calendula Seed,"Supports skin health, boosts immunity, has anti-inflammatory properties, aids digestion","Calendula tea, calendula oil, dried calendula petals","During a pandemic: Brew tea for immune support, use oil for skin care. Normal times: Use in herbal remedies, teas, and topical treatments."
Nigella Seed,"Supports immunity, aids digestion, rich in antioxidants, has anti-inflammatory effects","Whole nigella seeds, nigella oil, nigella seed powder","During a pandemic: Mix seeds in food, use oil for immunity. Normal times: Use in herbal medicine, cooking, and teas."
Passionflower Seed,"Promotes relaxation, reduces anxiety, supports sleep, has calming effects","Passionflower tea, passionflower extract, dried passionflower","During a pandemic: Brew tea for stress relief, use extract in herbal remedies. Normal times: Use in herbal teas, sleep aids, and aromatherapy."
Peony Seed,"Supports skin health, has anti-inflammatory properties, boosts immunity, aids relaxation","Peony tea, peony oil, dried peony flowers","During a pandemic: Brew tea for relaxation, use oil for skin care. Normal times: Use in herbal remedies, teas, and cosmetics."
Cornflower Seed,"Supports digestion, boosts immunity, has antibacterial properties, improves skin health","Cornflower tea, cornflower extract, dried cornflowers","During a pandemic: Brew tea for immunity, use extract in skincare. Normal times: Use in herbal teas, food decoration, and natural remedies."
Echinacea Seed,"Boosts immunity, supports respiratory health, has antibacterial properties, aids in recovery","Echinacea tea, echinacea extract, dried echinacea","During a pandemic: Brew tea for immunity, use extract in herbal remedies. Normal times: Use in herbal medicine, teas, and supplements."
Yarrow Seed,"Supports digestion, has anti-inflammatory properties, improves circulation, aids relaxation","Yarrow tea, yarrow extract, dried yarrow","During a pandemic: Brew tea for relaxation, use extract in natural remedies. Normal times: Use in herbal teas, medicine, and skincare."
Moringa Seed,"Rich in vitamins, supports immunity, boosts energy, has detoxifying properties","Moringa tea, moringa oil, dried moringa leaves","During a pandemic: Brew tea for immunity, use oil in cooking. Normal times: Use in herbal medicine, teas, and supplements."
Butterfly Pea Seed,"Supports brain health, rich in antioxidants, boosts immunity, aids relaxation","Butterfly pea tea, butterfly pea extract, dried butterfly pea flowers","During a pandemic: Brew tea for stress relief, mix extract in drinks. Normal times: Use in teas, natural colorants, and herbal remedies."
Acacia Seed,"Rich in protein, supports digestion, high in fiber, good for gut health","Roasted acacia seeds, ground acacia seed flour","During a pandemic: Roast and grind for flour, use in soups. Normal times: Use in baking, porridge, and traditional dishes."
Bamboo Seed,"Supports immunity, rich in antioxidants, good for digestion, high in fiber","Whole bamboo seeds, bamboo seed flour","During a pandemic: Cook in soups, grind into flour for baking. Normal times: Use in porridge, stews, and rice dishes."
Teak Seed,"Rich in nutrients, supports digestion, high in fiber, good for energy","Roasted teak seeds, teak seed powder","During a pandemic: Roast and eat as a snack, grind into flour. Normal times: Use in herbal medicine and traditional remedies."
Mahua Seed,"Rich in healthy fats, supports energy levels, good for digestion, boosts immunity","Whole mahua seeds, mahua seed oil","During a pandemic: Extract oil for cooking, roast for snacks. Normal times: Use in traditional sweets, herbal medicine, and energy supplements."
Neem Seed,"Supports immunity, has antibacterial properties, good for skin health, detoxifies the body","Neem oil, neem seed powder, whole neem seeds","During a pandemic: Use oil for health benefits, mix powder in food. Normal times: Use in herbal medicine, detox drinks, and skincare."
Sal Seed,"Rich in healthy fats, supports digestion, boosts energy, good for heart health","Sal seed oil, roasted sal seeds, ground sal seeds","During a pandemic: Extract oil for cooking, grind into flour. Normal times: Use in traditional medicine, herbal remedies, and cooking."
Grass Pea Seed,"Rich in protein, supports muscle growth, high in fiber, good for digestion","Whole grass pea seeds, grass pea flour","During a pandemic: Cook for soups and stews, grind into flour. Normal times: Use in traditional dishes, baking, and protein-rich foods."
Vetiver Seed,"Supports digestion, has cooling properties, good for skin health, detoxifies the body","Vetiver tea, vetiver seed powder, vetiver oil","During a pandemic: Brew tea for digestion, mix powder in food. Normal times: Use in herbal drinks, teas, and traditional remedies."
Alfalfa Seed,"Rich in vitamins, supports immunity, aids digestion, good for heart health","Sprouted alfalfa seeds, alfalfa tea, alfalfa powder","During a pandemic: Eat sprouts raw, brew tea for immunity. Normal times: Use in salads, smoothies, and herbal remedies."
Fescue Grass Seed,"Supports digestion, good for livestock feed, rich in fiber, promotes gut health","Whole fescue seeds, ground fescue flour","During a pandemic: Grind into flour for cooking, use in herbal drinks. Normal times: Use in animal feed, herbal medicine, and traditional foods."
Switchgrass Seed,"Supports digestion, rich in fiber, good for energy, helps in gut health","Whole switchgrass seeds, switchgrass powder","During a pandemic: Use powder in food, mix in soups. Normal times: Use in herbal medicine and traditional dishes."
Bermuda Grass Seed,"Supports digestion, boosts immunity, has detoxifying properties, good for skin health","Bermuda grass tea, bermuda grass powder, whole bermuda seeds","During a pandemic: Brew tea for immunity, mix powder in food. Normal times: Use in herbal medicine, teas, and detox drinks."
Buffalo Grass Seed,"Rich in fiber, supports digestion, good for energy, promotes gut health","Buffalo grass tea, buffalo grass powder, whole buffalo grass seeds","During a pandemic: Brew tea for digestion, mix powder in food. Normal times: Use in herbal medicine and teas."
Lemongrass Seed,"Supports digestion, boosts immunity, relieves stress, has antibacterial properties","Lemongrass tea, lemongrass oil, dried lemongrass","During a pandemic: Brew tea for immune support, use oil in food. Normal times: Use in herbal teas, cooking, and aromatherapy."
Bluegrass Seed,"Supports digestion, good for gut health, high in fiber, provides energy","Whole bluegrass seeds, bluegrass powder, bluegrass tea","During a pandemic: Brew tea for digestion, mix powder in food. Normal times: Use in herbal remedies, teas, and traditional medicine."
Perennial Ryegrass Seed,"Rich in fiber, supports digestion, good for energy, high in nutrients","Whole ryegrass seeds, ryegrass powder","During a pandemic: Use in soups, grind into flour. Normal times: Use in baking, herbal medicine, and animal feed."
Wild Rice Seed,"Rich in protein, supports digestion, high in antioxidants, good for heart health","Cooked wild rice, wild rice flour","During a pandemic: Cook as a grain for meals, grind into flour. Normal times: Use in pilafs, soups, and traditional dishes."
Foxtail Millet Seed,"Rich in protein, supports heart health, good for digestion, high in fiber","Whole foxtail millet, foxtail millet flour","During a pandemic: Cook as porridge, grind into flour for baking. Normal times: Use in traditional millet-based dishes and porridges."
Kusha Grass Seed,"Supports immunity, has detoxifying properties, good for digestion, helps in relaxation","Kusha grass tea, kusha grass powder","During a pandemic: Brew tea for detox, mix powder in herbal remedies. Normal times: Use in traditional medicine, teas, and detox drinks."
Elephant Grass Seed,"Rich in fiber, supports digestion, good for gut health, provides energy","Elephant grass tea, elephant grass powder","During a pandemic: Brew tea for digestion, mix powder in food. Normal times: Use in herbal medicine and detox drinks."
Baobab Seed,"Rich in antioxidants, supports immunity, good for digestion, high in vitamin C","Baobab powder, baobab oil, whole baobab seeds","During a pandemic: Mix powder in water for an energy drink, extract oil for health benefits. Normal times: Use in smoothies, herbal drinks, and skincare."
Ensete (False Banana) Seed,"Rich in carbohydrates, supports energy levels, good for gut health, high in fiber","Whole ensete seeds, ensete flour","During a pandemic: Grind into flour for baking, cook as porridge. Normal times: Use in traditional Ethiopian dishes, porridges, and flatbreads."
Garcinia Seed,"Supports digestion, aids weight management, high in antioxidants, good for metabolism","Garcinia seed powder, garcinia extract, garcinia oil","During a pandemic: Mix powder in water or herbal tea for metabolism support. Normal times: Use in herbal medicine, weight-loss supplements, and traditional remedies."
Kokum Seed,"Rich in healthy fats, supports digestion, helps skin health, good for heart health","Kokum butter, kokum oil, whole kokum seeds","During a pandemic: Extract oil for cooking, mix butter in herbal remedies. Normal times: Use in skin care, herbal medicines, and traditional curries."
Shea Seed,"Rich in vitamins, supports skin health, good for energy, contains healthy fats","Shea butter, shea oil, whole shea seeds","During a pandemic: Extract oil for nutrition, mix butter in herbal remedies. Normal times: Use in cosmetics, traditional medicine, and skincare products."
Jackfruit Seed,"Rich in protein, supports digestion, high in fiber, good for energy","Boiled jackfruit seeds, roasted jackfruit seeds, jackfruit seed flour","During a pandemic: Boil and eat as a snack, grind into flour. Normal times: Use in curries, desserts, and baked goods."
Madhuca Seed,"Supports energy levels, high in healthy fats, good for digestion, boosts immunity","Madhuca oil, whole madhuca seeds","During a pandemic: Extract oil for cooking, eat seeds roasted. Normal times: Use in herbal medicine, sweets, and traditional foods."
Tacca (Arrowroot) Seed,"Good for digestion, gluten-free, supports gut health, rich in carbohydrates","Arrowroot flour, whole tacca seeds","During a pandemic: Grind into flour for porridge, mix in herbal drinks. Normal times: Use in soups, desserts, and gluten-free baking."
Breadfruit Seed,"Rich in protein, supports digestion, good for energy, high in fiber","Boiled breadfruit seeds, roasted breadfruit seeds, breadfruit flour","During a pandemic: Boil for meals, grind into flour for baking. Normal times: Use in soups, curries, and baked goods."
Jungle Rice Seed,"Supports digestion, high in fiber, good for energy, rich in nutrients","Cooked jungle rice, jungle rice flour","During a pandemic: Cook as porridge, grind into flour. Normal times: Use in traditional dishes, porridges, and rice meals."
Aframomum Seed,"Rich in antioxidants, supports digestion, boosts immunity, good for metabolism","Aframomum powder, whole aframomum seeds","During a pandemic: Brew tea with powder, mix in herbal drinks. Normal times: Use in traditional medicine, herbal teas, and spiced dishes."
Buchanania (Chironji) Seed,"Rich in protein, supports heart health, high in healthy fats, good for digestion","Chironji paste, chironji oil, roasted chironji seeds","During a pandemic: Grind into a paste for cooking, eat roasted as a snack. Normal times: Use in sweets, desserts, and curries."
Sandalwood Seed,"Supports immunity, good for skin health, high in antioxidants, detoxifies the body","Sandalwood oil, whole sandalwood seeds","During a pandemic: Extract oil for herbal remedies, mix in detox drinks. Normal times: Use in traditional medicine, skincare, and detox diets."
Nypa Palm Seed,"Rich in carbohydrates, supports digestion, boosts energy, high in fiber","Boiled nypa seeds, roasted nypa seeds, nypa seed flour","During a pandemic: Cook for meals, grind into flour. Normal times: Use in traditional foods, desserts, and porridge."
Indian Bael Seed,"Supports digestion, good for gut health, boosts immunity, rich in antioxidants","Bael fruit powder, whole bael seeds","During a pandemic: Brew tea with powder, mix in herbal drinks. Normal times: Use in Ayurvedic medicine, juices, and herbal remedies."
Sea Buckthorn Seed,"Rich in omega fatty acids, supports heart health, good for skin, boosts immunity","Sea buckthorn oil, whole sea buckthorn seeds","During a pandemic: Extract oil for nutrition, mix in herbal remedies. Normal times: Use in skin care, herbal medicine, and supplements."
Jojoba Seed,"Supports skin health, rich in antioxidants, good for hair, boosts hydration","Jojoba oil, whole jojoba seeds","During a pandemic: Extract oil for skincare, mix in herbal remedies. Normal times: Use in cosmetics, hair care, and natural moisturizers."
Frankincense Seed,"Supports immunity, has anti-inflammatory properties, good for relaxation, detoxifies the body","Frankincense oil, whole frankincense seeds","During a pandemic: Use oil for immune support, mix in herbal remedies. Normal times: Use in incense, aromatherapy, and skincare."
Pine Nut,"Rich in healthy fats, supports brain health, boosts energy, high in protein","Raw pine nuts, roasted pine nuts, pine nut oil","During a pandemic: Eat as a snack, grind into paste for dishes. Normal times: Use in pesto, salads, and desserts."
Stone Pine Seed,"Supports heart health, rich in antioxidants, good for digestion, provides energy","Whole stone pine seeds, stone pine nut oil","During a pandemic: Eat roasted as a snack, extract oil for nutrition. Normal times: Use in gourmet dishes, pesto, and baked goods."
Chia Seeds,"Rich in omega-3 fatty acids, high in fiber, supports digestion, helps in weight management","Whole chia seeds, chia seed powder, soaked chia seeds","During a pandemic: Mix in water for an energy drink, add to porridge. Normal times: Use in smoothies, yogurt, puddings, and baking."
Flaxseeds,"High in omega-3, supports heart health, aids digestion, rich in antioxidants","Whole flaxseeds, ground flaxseeds, flaxseed oil","During a pandemic: Mix ground flaxseeds in meals, use flaxseed oil for cooking. Normal times: Add to smoothies, oatmeal, salads, and baked goods."
Hemp Seeds,"Rich in protein, good for heart health, high in essential fatty acids, supports metabolism","Whole hemp seeds, hemp seed oil, hemp protein powder","During a pandemic: Mix in porridge, extract oil for cooking. Normal times: Use in smoothies, salads, protein bars, and yogurt."
Pumpkin Seeds,"High in magnesium, supports heart health, boosts immunity, rich in protein","Raw pumpkin seeds, roasted pumpkin seeds, pumpkin seed oil","During a pandemic: Roast and eat as a snack, add to soups. Normal times: Use in granola, salads, trail mixes, and pesto."
Sunflower Seeds,"Good for skin health, supports immunity, rich in healthy fats, helps in weight management","Whole sunflower seeds, sunflower seed butter, sunflower seed oil","During a pandemic: Eat raw or roasted, extract oil for cooking. Normal times: Use in trail mixes, energy bars, baking, and spreads."
Sesame Seeds,"Rich in calcium, supports bone health, high in antioxidants, good for heart health","Whole sesame seeds, tahini (sesame paste), sesame oil","During a pandemic: Add to soups, grind into tahini. Normal times: Use in hummus, salads, stir-fries, and baked goods."
Quinoa Seeds,"Complete protein source, rich in fiber, supports digestion, good for energy","Whole quinoa seeds, quinoa flour","During a pandemic: Boil as porridge, grind into flour for baking. Normal times: Use in salads, grain bowls, soups, and stir-fries."
Amaranth Seeds,"High in protein, gluten-free, supports heart health, rich in fiber","Whole amaranth seeds, amaranth flour, puffed amaranth","During a pandemic: Cook into porridge, grind into flour. Normal times: Use in cereals, energy bars, and baked goods."
Basil Seeds,"Supports digestion, high in fiber, helps in weight loss, good for hydration","Soaked basil seeds, basil seed powder","During a pandemic: Mix in water for a cooling drink. Normal times: Use in beverages, desserts, and smoothies."
Cumin Seeds,"Aids digestion, rich in antioxidants, supports metabolism, helps in weight loss","Whole cumin seeds, cumin powder","During a pandemic: Brew as herbal tea, use in spice blends. Normal times: Use in curries, soups, and stir-fries."
Poppy Seeds,"Rich in calcium, supports bone health, good for digestion, high in antioxidants","Whole poppy seeds, poppy seed paste","During a pandemic: Mix in herbal drinks, use in porridge. Normal times: Use in baking, desserts, and traditional dishes."
Nigella Seeds,"Boosts immunity, rich in antioxidants, supports digestion, has anti-inflammatory properties","Whole nigella seeds, nigella oil","During a pandemic: Mix in herbal drinks, use in spice blends. Normal times: Use in curries, bread, and salad dressings."
Moringa Seeds,"Supports immunity, good for digestion, high in vitamins and minerals, detoxifies the body","Whole moringa seeds, moringa powder, moringa oil","During a pandemic: Brew tea, grind into powder for soups. Normal times: Use in smoothies, herbal teas, and nutritional supplements."
Watermelon Seeds,"Rich in protein, good for heart health, high in magnesium, supports digestion","Raw watermelon seeds, roasted watermelon seeds, watermelon seed oil","During a pandemic: Roast and eat as a snack, grind into flour. Normal times: Use in trail mixes, energy bars, and smoothies."
Lotus Seeds,"Rich in antioxidants, supports brain health, helps in stress relief, good for digestion","Whole lotus seeds, lotus seed paste, roasted lotus seeds","During a pandemic: Roast and eat as a snack, grind into powder. Normal times: Use in soups, desserts, and herbal drinks."
Sacha Inchi Seeds,"High in omega-3, supports brain health, rich in protein, boosts immunity","Whole sacha inchi seeds, sacha inchi oil, sacha inchi protein powder","During a pandemic: Eat roasted, extract oil for cooking. Normal times: Use in protein powders, smoothies, and snacks."
Fenugreek Seeds,"Supports digestion, regulates blood sugar, good for lactation, rich in fiber","Whole fenugreek seeds, fenugreek powder, sprouted fenugreek seeds","During a pandemic: Soak in water for digestion support, brew herbal tea. Normal times: Use in curries, spice blends, and herbal remedies."
Milk Thistle Seeds,"Supports liver health, detoxifies the body, high in antioxidants, aids digestion","Milk thistle powder, whole milk thistle seeds","During a pandemic: Brew as herbal tea, grind into powder for soups. Normal times: Use in herbal medicine, teas, and supplements."
Acai Seeds,"Rich in antioxidants, boosts energy, good for skin health, supports heart health","Acai seed oil, whole acai seeds","During a pandemic: Extract oil for nutrition, mix in herbal remedies. Normal times: Use in smoothies, skincare, and superfood powders."
Perilla Seeds,"Supports brain health, rich in omega-3, helps in digestion, boosts immunity","Whole perilla seeds, perilla seed oil, perilla powder","During a pandemic: Roast and eat, extract oil for health benefits. Normal times: Use in Korean cuisine, herbal medicine, and tea."
Coffee Beans,"Rich in antioxidants, boosts energy, enhances mental alertness, supports metabolism","Whole coffee beans, ground coffee, coffee extracts","During a pandemic: Brew as black coffee, make homemade coffee powder. Normal times: Use in espresso, lattes, cold brews, and desserts."
Green Tea Seeds,"High in antioxidants, supports heart health, aids weight loss, boosts immunity","Whole green tea seeds, green tea powder, green tea extract","During a pandemic: Brew herbal tea, mix in soups. Normal times: Use in matcha lattes, smoothies, and baking."
Black Tea Seeds,"Rich in antioxidants, improves digestion, boosts energy, supports heart health","Whole black tea seeds, black tea powder","During a pandemic: Brew as tea, use in homemade herbal blends. Normal times: Use in milk tea, iced tea, and flavored beverages."
Oolong Tea Seeds,"Aids weight management, good for digestion, supports metabolism, boosts immunity","Whole oolong tea seeds, oolong tea leaves","During a pandemic: Brew for detox tea, mix in health drinks. Normal times: Use in iced teas, herbal blends, and kombucha."
Chamomile Seeds,"Promotes relaxation, helps in sleep, supports digestion, rich in antioxidants","Whole chamomile seeds, chamomile powder","During a pandemic: Brew herbal tea, mix with honey for immunity. Normal times: Use in bedtime tea, calming drinks, and skincare."
Hibiscus Seeds,"Rich in vitamin C, supports heart health, aids digestion, good for skin health","Whole hibiscus seeds, hibiscus powder, hibiscus tea extract","During a pandemic: Brew as herbal tea, mix in energy drinks. Normal times: Use in iced teas, cocktails, and desserts."
Yerba Mate Seeds,"Boosts energy, rich in antioxidants, enhances focus, supports digestion","Whole yerba mate seeds, yerba mate powder","During a pandemic: Brew as herbal tea, mix in immune-boosting drinks. Normal times: Use in energy teas, smoothies, and sports drinks."
Barley Seeds,"Good for digestion, supports heart health, helps in weight management, rich in fiber","Whole barley seeds, barley malt, barley tea","During a pandemic: Brew barley tea, grind into flour for soups. Normal times: Use in barley water, traditional tea, and fermented drinks."
Rooibos Seeds,"Caffeine-free, rich in antioxidants, supports heart health, promotes relaxation","Whole rooibos seeds, rooibos powder","During a pandemic: Brew for a soothing herbal tea. Normal times: Use in lattes, iced tea, and skincare."
Kombucha Starter Seeds,"Supports gut health, boosts immunity, detoxifies the body, rich in probiotics","Kombucha starter culture, kombucha tea","During a pandemic: Ferment for homemade kombucha, mix with fruit. Normal times: Use in health drinks, probiotic beverages, and detox drinks."
Cocoa Seeds,"Rich in antioxidants, supports brain health, boosts mood, high in magnesium","Whole cocoa seeds, cocoa powder, cocoa butter","During a pandemic: Brew as hot cocoa, use in energy snacks. Normal times: Use in chocolate, desserts, and smoothies."
Guayusa Seeds,"Boosts energy, supports metabolism, rich in antioxidants, good for mental alertness","Whole guayusa seeds, guayusa tea","During a pandemic: Brew as a herbal energy drink. Normal times: Use in smoothies, teas, and health beverages."
Dandelion Seeds,"Detoxifies the liver, supports digestion, high in antioxidants, promotes weight loss","Whole dandelion seeds, dandelion tea, dandelion coffee","During a pandemic: Brew dandelion tea as a coffee substitute. Normal times: Use in herbal detox drinks, teas, and soups."
Baobab Seeds,"Rich in vitamin C, supports immunity, promotes skin health, high in fiber","Whole baobab seeds, baobab powder","During a pandemic: Mix powder in water for a nutrition drink. Normal times: Use in smoothies, juices, and superfood blends."
Ashwagandha Seeds,"Reduces stress, supports brain health, boosts energy, enhances immunity","Whole ashwagandha seeds, ashwagandha powder","During a pandemic: Brew herbal tea, mix in warm milk. Normal times: Use in health drinks, Ayurvedic medicine, and herbal teas."
Ginseng Seeds,"Boosts energy, supports mental clarity, enhances immunity, reduces fatigue","Whole ginseng seeds, ginseng powder","During a pandemic: Brew as an immune-boosting tea. Normal times: Use in herbal tonics, teas, and energy drinks."
Lemon Balm Seeds,"Promotes relaxation, aids digestion, reduces stress, supports sleep","Whole lemon balm seeds, lemon balm tea, lemon balm oil","During a pandemic: Brew for a calming tea. Normal times: Use in flavored teas, stress relief tonics, and herbal infusions."
Ginger Seeds,"Supports digestion, reduces inflammation, boosts immunity, helps in nausea relief","Whole ginger seeds, ginger powder, ginger tea","During a pandemic: Brew as a herbal remedy tea. Normal times: Use in teas, soups, detox drinks, and juices."
Tulsi (Holy Basil) Seeds,"Boosts immunity, reduces stress, supports respiratory health, high in antioxidants","Whole tulsi seeds, tulsi powder, tulsi tea","During a pandemic: Brew as an immunity-boosting tea. Normal times: Use in herbal medicine, Ayurvedic drinks, and teas."
Mint Seeds,"Aids digestion, supports respiratory health, refreshing and cooling, rich in antioxidants","Whole mint seeds, mint tea, mint extract","During a pandemic: Brew fresh mint tea for digestion. Normal times: Use in flavored teas, cocktails, and desserts."
Castor Bean Seeds,Ricin,Severe poisoning, nausea, vomiting, liver failure, can be fatal,Avoid ingestion, wear gloves when handling, keep away from children and pets.
Rosary Pea Seeds,Abrin,Extremely toxic, causes organ failure, death in small doses,No ingestion, avoid breaking seeds, wash hands after contact.
Foxglove Seeds,Digitoxin,Heart arrhythmia, nausea, dizziness, seizures,Keep away from children, do not consume, wash hands after handling.
Oleander Seeds,Oleandrin,Severe heart toxicity, vomiting, abdominal pain, can be fatal,Avoid any ingestion, wash hands after contact, do not burn seeds.
Datura Seeds,Atropine,Scopolamine,Hallucinations, confusion, rapid heartbeat, coma,Avoid handling without gloves, never ingest, keep away from pets.
Strychnine Tree Seeds,Strychnine,Severe muscle convulsions, respiratory failure, death,Avoid ingestion, store securely away from food and children.
Deadly Nightshade Seeds,Atropine,Scopolamine,Blurred vision, hallucinations, seizures, respiratory failure,Avoid touching or eating, keep away from children and pets.
Yew Seeds,Taxine,Cardiac arrest, muscle tremors, sudden death,Extremely toxic, avoid ingestion, do not use for decoration.
Aconite Seeds,Aconitine,Paralysis, respiratory failure, cardiac arrest,Handle with extreme caution, avoid ingestion, wear gloves.
Water Hemlock Seeds,Cicutoxin,Severe convulsions, seizures, coma, death,Avoid all contact, do not consume, keep away from water sources.
Poison Hemlock Seeds,Coniine,Respiratory failure, tremors, paralysis,Avoid handling, never consume, wash hands after exposure.
Larkspur Seeds,Delphinine,Neuromuscular paralysis, breathing difficulty, coma,Avoid ingestion, wear gloves while handling plants.
Strychnos Nux-Vomica Seeds,Strychnine,Muscle spasms, convulsions, asphyxiation,Keep securely locked away, never ingest, wash hands after contact.
Manchineel Seeds,Phorbol,Severe skin burns, respiratory irritation, death,Avoid direct contact, never burn or ingest, wear protective gear.
Jequirity Seeds,Abrin,Severe organ failure, death in small amounts,Avoid touching or breaking seeds, keep locked away.
White Snakeroot Seeds,Tremetol,Liver failure, severe muscle tremors, coma,Do not ingest, avoid feeding to livestock, wash hands after contact.
Angel’s Trumpet Seeds,Scopolamine,Hallucinations, dry mouth, seizures, cardiac arrest,Avoid ingestion, wear gloves, do not inhale near plants.
Monkshood Seeds,Aconitine,Severe vomiting, paralysis, heart failure,Use extreme caution, wear gloves, never consume.
Laburnum Seeds,Cytisine,Nausea, convulsions, respiratory distress,Do not ingest, keep away from pets and livestock.
Hellebore Seeds,Veratridine,Cardiac failure, nervous system disruption, vomiting,Do not ingest, wear gloves when handling.
Aconite (Monkshood),Toxic plant, traditional use in medicine (very dangerous),Not for consumption,Don't eat. It's poisonous.
Abrus precatorius (Rosary Pea),Highly toxic seeds (contains abrin), ornamental use,Not for consumption,Don't eat. It's poisonous.
Actaea pachypoda (White Baneberry),Toxic berries, ornamental plant,Not for consumption,Don't eat. It's poisonous.
Aesculus (Horse Chestnut),Toxic seeds, sometimes used medicinally (processed),Not for consumption,Don't eat. It's poisonous.
Agave americana (Century Plant),Irritant sap, used in fiber production,Not for consumption,Don't eat. It's poisonous.
Ageratina altissima (White Snakeroot),Toxic, causes milk sickness,Not for consumption,Don't eat. It's poisonous.
Aleurites moluccanus (Candlenut Tree),Toxic seeds raw, edible after roasting,Roasted only,Eat only after proper roasting.
Allamanda (Golden Trumpet),Toxic latex, ornamental use,Not for consumption,Don't eat. It's poisonous.
Amaranthus (Pigweed),Some species edible, some mildly toxic,Boiled or cooked (edible varieties),Only eat edible species (not all).
Amaryllis,Toxic bulbs and leaves, ornamental,Not for consumption,Don't eat. It's poisonous.
Anthurium (Flamingo Flower),Irritant sap, ornamental use,Not for consumption,Don't eat. It's poisonous.
Apocynum (Dogbane),Toxic, causes cardiac issues,Not for consumption,Don't eat. It's poisonous.
Arisaema triphyllum (Jack-in-the-Pulpit),Toxic raw, edible if cooked properly,Cooked after drying,Eat only after processing (else poisonous).
Aristolochia (Birthwort),Toxic, contains carcinogens,Not for consumption,Don't eat. It's poisonous.
Arum maculatum (Lords and Ladies),Toxic, causes irritation,Not for consumption,Don't eat. It's poisonous.
Asclepias (Milkweed),Toxic raw, edible if properly cooked,Boiled (young shoots only),Eat only properly cooked parts.
Atropa belladonna (Deadly Nightshade),Highly toxic, used in medicine (controlled),Not for consumption,Don't eat. It's poisonous.
Azalea,Toxic leaves and flowers, ornamental,Not for consumption,Don't eat. It's poisonous.
Baptisia (False Indigo),Toxic seeds, ornamental use,Not for consumption,Don't eat. It's poisonous.
Brugmansia (Angel's Trumpet),Highly toxic, used in traditional medicine (dangerous),Not for consumption,Don't eat. It's poisonous.
Caladium (Elephant Ear),Toxic, causes irritation,Not for consumption,Don't eat. It's poisonous.
Calla Lily,Toxic sap, ornamental use,Not for consumption,Don't eat. It's poisonous.
